tracking_id,clics_p1,comprados_p1,conv_pct_p1,ganancias_totales_p1,clics_p2,comprados_p2,conv_pct_p2,ganancias_totales_p2,conv_pct_promedio
s73f45227-20,8929,737,8.25,296.37,7860,652,8.3,287.23,8.27
elpromohunt0c-20,6353,478,7.52,197.46,6412,475,7.41,236.02,7.47
krik0n-20,9672,474,4.9,310.06,11410,544,4.77,444.2,4.83
koose-20,5320,430,8.08,156.7,4159,263,6.32,128.27,7.31
brunardo-20,6861,422,6.15,207.08,12066,782,6.48,430.88,6.36
opmilo21-20,5638,320,5.68,164.81,5705,387,6.78,224.66,6.23
hnuol3820-20,6000,235,3.92,176.41,5327,242,4.54,176.44,4.21
yennifer3606-20,2320,147,6.34,62.3,2400,139,5.79,80.73,6.06
lmolartec3639-20,2077,144,6.93,62.09,2534,160,6.31,70.85,6.59
chiriboga6490-20,2021,112,5.54,54.74,1521,73,4.8,61.65,5.22
comardex-20,1508,90,5.97,52.85,2875,140,4.87,89.97,5.25
