tracking_id,clics,comprados,conv_pct,ganancia_compras,enviados,devueltos,ingresos_enviados,ganancias_totales,periodo
s73f45227-20,8929,737,8.25,9671.91,689,23,9180.59,296.37,2026-01-01/2026-03-31
elpromohunt0c-20,6353,478,7.52,6534.36,415,6,5957.61,197.46,2026-01-01/2026-03-31
krik0n-20,9672,474,4.9,8682.81,491,9,9893.12,310.06,2026-01-01/2026-03-31
koose-20,5320,430,8.08,5289.62,445,2,5427.39,156.7,2026-01-01/2026-03-31
brunardo-20,6861,422,6.15,8455.27,386,6,6473.9,207.08,2026-01-01/2026-03-31
opmilo21-20,5638,320,5.68,5099.94,320,15,5204.74,164.81,2026-01-01/2026-03-31
hnuol3820-20,6000,235,3.92,8396.82,195,1,6226.72,176.41,2026-01-01/2026-03-31
yennifer3606-20,2320,147,6.34,2120.25,134,1,1873.24,62.3,2026-01-01/2026-03-31
lmolartec3639-20,2077,144,6.93,2078.57,137,6,2067.77,62.09,2026-01-01/2026-03-31
chiriboga6490-20,2021,112,5.54,1749.99,110,2,1690.01,54.74,2026-01-01/2026-03-31
comardex-20,1508,90,5.97,1531.7,96,4,1680.47,52.85,2026-01-01/2026-03-31
brunardo-20,12066,782,6.48,15288.27,700,11,12801.67,430.88,2026-03-01/2026-05-23
s73f45227-20,7860,652,8.3,9255.01,604,12,8578.9,287.23,2026-03-01/2026-05-23
krik0n-20,11410,544,4.77,14680.14,528,7,14446.93,444.2,2026-03-01/2026-05-23
elpromohunt0c-20,6412,475,7.41,7643.11,449,0,7013.29,236.02,2026-03-01/2026-05-23
opmilo21-20,5705,387,6.78,6848.01,384,6,6857.01,224.66,2026-03-01/2026-05-23
koose-20,4159,263,6.32,4265.71,261,3,4217.76,128.27,2026-03-01/2026-05-23
hnuol3820-20,5327,242,4.54,5857.29,249,6,5993.64,176.44,2026-03-01/2026-05-23
lmolartec3639-20,2534,160,6.31,2252.18,158,2,2216.7,70.85,2026-03-01/2026-05-23
comardex-20,2875,140,4.87,2942.83,135,3,3019.0,89.97,2026-03-01/2026-05-23
yennifer3606-20,2400,139,5.79,2393.99,142,1,2416.47,80.73,2026-03-01/2026-05-23
chiriboga6490-20,1521,73,4.8,1560.68,68,0,1540.38,61.65,2026-03-01/2026-05-23
