hora_col,total_posts,lambda_por_dia,lambda_por_hora
0,168,1.1666666666666667,1.1666666666666667
1,54,0.375,0.375
2,13,0.09027777777777778,0.09027777777777778
3,2,0.013888888888888888,0.013888888888888888
4,18,0.125,0.125
6,2,0.013888888888888888,0.013888888888888888
7,90,0.625,0.625
8,754,5.236111111111111,5.236111111111111
9,1096,7.611111111111111,7.611111111111111
10,1425,9.895833333333334,9.895833333333334
11,1615,11.215277777777779,11.215277777777779
12,1744,12.11111111111111,12.11111111111111
13,1751,12.159722222222221,12.159722222222221
14,1765,12.256944444444445,12.256944444444445
15,1747,12.131944444444445,12.131944444444445
16,1751,12.159722222222221,12.159722222222221
17,1744,12.11111111111111,12.11111111111111
18,1759,12.215277777777779,12.215277777777779
19,1743,12.104166666666666,12.104166666666666
20,1748,12.13888888888889,12.13888888888889
21,96,0.6666666666666666,0.6666666666666666
22,9,0.0625,0.0625
23,3,0.020833333333333332,0.020833333333333332
